nohup: ignoring input
Dataset: Chinatown
Arguments: Namespace(run_name='ts2vec-5d', gpu=0, batch_size=8, lr=0.001, repr_dims=320, max_train_length=3000, iters=None, epochs=None, save_every=None, seed=42, depth=5, max_threads=8, eval=True)
Loading data... done. train_data shape: (20, 24, 1)
# Run 0
Epoch #31: loss=1.9398239850997925
Epoch #32: loss=1.8423684239387512
Epoch #33: loss=1.8618956208229065
Epoch #34: loss=1.8295604586601257
Epoch #35: loss=1.928267240524292
Epoch #36: loss=1.834423542022705
Epoch #37: loss=1.9509121179580688
Epoch #38: loss=1.846868097782135
Epoch #39: loss=1.8896949291229248
Epoch #40: loss=1.7257055640220642
Epoch #41: loss=1.8408091068267822
Epoch #42: loss=1.6433975100517273
Epoch #43: loss=1.8296951651573181
Epoch #44: loss=1.6118762493133545
Epoch #45: loss=1.5293386578559875
Epoch #46: loss=1.7978509068489075
Epoch #47: loss=1.6669842600822449
Epoch #48: loss=1.600272536277771
Epoch #49: loss=1.742249071598053
Epoch #50: loss=1.5318062901496887
Epoch #51: loss=1.6919254064559937
Epoch #52: loss=1.2536145448684692
Epoch #53: loss=1.414788544178009
Epoch #54: loss=2.0600695610046387
Epoch #55: loss=1.3770471811294556
Epoch #56: loss=1.34992253780365
Epoch #57: loss=1.9633365273475647
Epoch #58: loss=2.246798276901245
Epoch #59: loss=1.4213062524795532
Epoch #60: loss=1.5621495842933655
Epoch #61: loss=1.7643839716911316
Epoch #62: loss=2.0183982849121094
Epoch #63: loss=1.7435546517372131
Epoch #64: loss=1.635308861732483
Epoch #65: loss=1.9353619813919067
